Date,Australian dollar   (AUD),Bahrain dinar   (BHD),Canadian dollar   (CAD),Chinese yuan   (CNY),Euro   (EUR),Indian rupee   (INR),Japanese yen   (JPY),Kuwaiti dinar   (KWD),Malaysian ringgit   (MYR),Mexican peso   (MXN),Pakistani rupee   (PKR),Qatari riyal   (QAR),Russian ruble   (RUB),Saudi Arabian riyal   (SAR),Sri Lankan rupee   (LKR),Swiss franc   (CHF),U.A.E. dirham   (AED),U.K. pound   (GBP),U.S. dollar   (USD)
3-Jan-17,1.382361073,0.376,1.3438,6.9552,0.962927299,68.0864,112.1276613,0.306,4.4925,20.852,104.8013,3.64,58.27728408,3.75,150.0,1.0295,3.6725,0.813702754,1
4-Jan-17,1.38121547,0.376,1.3293,6.9541,0.958129731,68.1791,117.93,0.30635,4.4995,21.3799,104.8497,3.64,58.27728408,3.75,150.0,1.0269,3.6725,0.814100216,1
5-Jan-17,1.369487812,0.376,1.3216,6.8778,0.952290258,67.7884,116.6,0.30585,4.4875,21.3661,104.8376,3.64,58.27728408,3.75,149.9992,1.0206,3.6725,0.812644752,1
6-Jan-17,1.366493577,0.376,1.3216,6.9225,0.944376239,67.7884,115.7,0.30585,4.4725,21.3144,104.8259,3.64,58.27728408,3.75,150.0,1.0118,3.6725,0.808603542,1
9-Jan-17,1.367989056,0.376,1.3222,6.9333,0.950931913,68.1863,115.7,0.30595,4.4785,21.3219,104.8346,3.64,59.8961,3.75,149.9983,1.0181,3.6725,0.821962847,1
10-Jan-17,1.356116084,0.376,1.3208,6.9259,0.946342387,68.0641,115.99,0.30555,4.4745,21.6168,104.8518,3.64,59.9533,3.75,150.0,1.014,3.6725,0.823519723,1
11-Jan-17,1.354829969,0.376,1.3232,6.9264,0.952108921,68.2276,116.0,0.3058,4.475,21.9076,104.8531,3.64,60.1614,3.75,149.9828,1.0203,3.6725,0.824708259,1
12-Jan-17,1.340123291,0.376,1.313,6.9105,0.936417268,68.0858,115.05,0.30545,4.4625,21.7204,104.8551,3.64,59.4978,3.75,149.9828,1.0079,3.6725,0.814000814,1
13-Jan-17,1.336005344,0.376,1.3135,6.8931,0.937998312,68.231,114.99,0.30545,4.4635,21.633,104.8615,3.64,59.37,3.75,150.0,1.0078,3.6725,0.820950661,1
17-Jan-17,1.333333333,0.376,1.306,6.8807,0.935979034,68.0509,114.12,0.3054,4.467,21.5738,104.8583,3.64,59.4015,3.75,150.1222,1.0012,3.6725,0.818196694,1
18-Jan-17,1.324152542,0.376,1.3177,6.8451,0.937734434,67.9364,113.05,0.305,4.4455,21.8514,104.8583,3.64,59.183,3.75,150.1363,1.0018,3.6725,0.814067079,1
19-Jan-17,1.329433661,0.376,1.3329,6.8707,0.937382827,68.1766,114.8,0.30535,4.4455,21.8514,104.8605,3.64,59.3521,3.75,150.15,1.0063,3.6725,0.811227387,1
23-Jan-17,1.322401481,0.376,1.3289,6.8575,0.933271115,68.0843,113.88,0.30495,4.44,21.4512,104.8672,3.64,59.5034,3.75,150.15,0.9989,3.6725,0.804278763,1
24-Jan-17,1.319957761,0.376,1.3152,6.8557,0.930405657,68.157,112.78,0.3053,4.435,21.3692,104.8707,3.64,59.2168,3.75,150.1478,0.9999,3.6725,0.802890405,1
