Date,Australian dollar   (AUD),Canadian dollar   (CAD),Chinese yuan   (CNY),Euro   (EUR),Indian rupee   (INR),Japanese yen   (JPY),Kuwaiti dinar   (KWD),Malaysian ringgit   (MYR),Mexican peso   (MXN),Qatari riyal   (QAR),Russian ruble   (RUB),Saudi Arabian riyal   (SAR),Swiss franc   (CHF),U.A.E. dirham   (AED),U.K. pound   (GBP),U.S. dollar   (USD)
2-Jan-19,1.424501425,1.36,6.8557,0.877423883,69.6089,109.0365182,0.30315,4.139,19.5878,3.64,64.6396709,3.75,0.9938546371,3.6725,0.78985822,1
3-Jan-19,1.439884809,1.3501,6.8744,0.881212548,70.3627,109.0365182,0.30315,4.1425,19.6073,3.64,64.6396709,3.75,0.9895,3.6725,0.796431985,1
4-Jan-19,1.423690205,1.341,6.8647,0.876962203,69.8653,107.63,0.30315,4.1395,19.4902,3.64,64.6396709,3.75,0.9871,3.6725,0.789515238,1
7-Jan-19,1.40193467,1.3313,6.8498,0.873743993,69.4814,108.49,0.30305,4.1105,19.3208,3.64,64.6396709,3.75,0.98185,3.6725,0.784067743,1
8-Jan-19,1.402524544,1.3293,6.86,0.874125874,70.0221,108.74,0.30305,4.113,19.3479,3.64,64.6396709,3.75,0.97945,3.6725,0.782748229,1
9-Jan-19,1.397819402,1.3221,6.8353,0.872981231,70.4418,108.9,0.30305,4.114,19.2456,3.64,67.0795,3.75,0.9808,3.6725,0.785360873,1
10-Jan-19,1.391788448,1.3234,6.7899,0.866926745,70.5135,107.93,0.30265,4.0955,19.1714,3.64,66.8605,3.75,0.977,3.6725,0.785052599,1
11-Jan-19,1.385041551,1.3234,6.7468,0.867077083,70.4737,108.4,0.30265,4.096,19.1236,3.64,66.9167,3.75,0.9832,3.6725,0.779727096,1
14-Jan-19,1.391982183,1.3269,6.7644,0.872067672,70.8244,108.4,0.30295,4.0975,19.0064,3.64,67.192,3.75,0.9816,3.6725,0.776699029,1
15-Jan-19,1.386577926,1.3266,6.753,0.87535014,71.0298,108.36,0.30295,4.0975,19.0457,3.64,67.082,3.75,0.9863,3.6725,0.777514287,1
16-Jan-19,1.389660923,1.3248,6.7615,0.878040214,71.1847,108.46,0.3031,4.1125,18.9908,3.64,66.7617,3.75,0.99015,3.6725,0.778270683,1
17-Jan-19,1.398210291,1.3294,6.767,0.877500878,71.3418,109.02,0.3032,4.109,19.063,3.64,66.4438,3.75,0.99225,3.6725,0.775314002,1
18-Jan-19,1.390240512,1.326,6.7725,0.877039116,71.1418,109.35,0.3032,4.116,19.0844,3.64,66.3309,3.75,0.99355,3.6725,0.773215805,1
22-Jan-19,1.401148942,1.334,6.8064,0.880746873,71.3761,109.63,0.3033,4.128,19.1297,3.64,66.5499,3.75,0.9963,3.6725,0.775434243,1
23-Jan-19,1.401148942,1.3348,6.7887,0.879739597,71.2039,109.64,0.3033,4.1335,19.0771,3.64,66.3318,3.75,0.99755,3.6725,0.767224183,1
