Date,Australian dollar   (AUD),Bahrain dinar   (BHD),Canadian dollar   (CAD),Chinese yuan   (CNY),Euro   (EUR),Indian rupee   (INR),Japanese yen   (JPY),Kuwaiti dinar   (KWD),Malaysian ringgit   (MYR),Mexican peso   (MXN),Pakistani rupee   (PKR),Qatari riyal   (QAR),Russian ruble   (RUB),Saudi Arabian riyal   (SAR),Sri Lankan rupee   (LKR),Swiss franc   (CHF),U.A.E. dirham   (AED),U.K. pound   (GBP),U.S. dollar   (USD)
4-Jan-16,1.384466288,0.376,1.3969,6.5126,0.91759956,66.4623,119.51,0.3036,4.3235,17.3529,104.8596,3.64,72.9299,3.75,144.2333,0.9986,3.6725,0.67704807,1
5-Jan-16,1.386962552,0.376,1.3993,6.5196,0.93057882,66.5418,119.52,0.30375,4.3425,17.3456,104.9071,3.64,72.9299,3.75,144.1833,1.01,3.6725,0.681709728,1
6-Jan-16,1.40390285,0.376,1.4084,6.5523,0.93092534,66.7165,118.5,0.30395,4.3695,17.4411,104.9129,3.64,72.9299,3.75,144.2318,1.0087,3.6725,0.681988679,1
7-Jan-16,1.420252805,0.376,1.4061,6.5937,0.920132499,66.9115,118.0,0.3037,4.414,17.6568,104.9167,3.64,72.9299,3.75,144.0106,1.0003,3.6725,0.686530276,1
8-Jan-16,1.416229996,0.376,1.4151,6.5888,0.920725532,66.669,118.3,0.3037,4.3705,17.9283,104.9327,3.64,72.9299,3.75,143.9415,0.9992,3.6725,0.684837693,1
11-Jan-16,1.433486239,0.376,1.4205,6.5848,0.918442322,66.7885,118.3,0.3034,4.3985,17.9304,104.9433,3.64,75.9507,3.75,143.8175,0.9962,3.6725,0.686436024,1
12-Jan-16,1.432664756,0.376,1.4291,6.5766,0.92284976,66.8905,117.79,0.3035,4.404,17.9119,104.9474,3.64,76.6041,3.75,143.7993,1.0,3.6725,0.692904656,1
13-Jan-16,1.421868335,0.376,1.4294,6.5769,0.924556213,66.8394,118.23,0.30375,4.3945,17.85,104.9482,3.64,76.4275,3.75,143.745,1.0075,3.6725,0.694830461,1
14-Jan-16,1.443001443,0.376,1.4373,6.5883,0.918020747,67.095,117.38,0.30355,4.393,17.9121,104.9524,3.64,76.523,3.75,143.8047,1.0019,3.6725,0.695216908,1
15-Jan-16,1.439263097,0.376,1.4528,6.587,0.916254352,67.4325,118.14,0.30355,4.3775,18.2108,104.9319,3.64,76.565,3.75,143.8047,1.0042,3.6725,0.696767001,1
19-Jan-16,1.454545455,0.376,1.4514,6.5795,0.920132499,67.563,117.58,0.30365,4.389,18.1947,104.9543,3.64,78.4862,3.75,143.9308,1.0063,3.6725,0.699202909,1
20-Jan-16,1.456239988,0.376,1.4589,6.5793,0.916842395,67.9774,117.0,0.30325,4.3795,18.608,104.9582,3.64,79.4614,3.75,143.9169,1.0027,3.6725,0.706364343,1
21-Jan-16,1.448225923,0.376,1.4243,6.5794,0.918020747,68.06,117.25,0.30315,4.376,18.5084,104.9258,3.64,83.5913,3.75,143.8858,1.0055,3.6725,0.708265458,1
22-Jan-16,1.427347987,0.376,1.4151,6.5796,0.925240563,67.748,117.8,0.30315,4.337,18.428,104.941,3.64,80.5714,3.75,143.9,1.0122,3.6725,0.699692135,1
25-Jan-16,1.423487544,0.376,1.4252,6.5792,0.924641701,67.6428,118.6,0.3031,4.337,18.5352,104.9444,3.64,77.7965,3.75,143.9,1.0145,3.6725,0.702493853,1
26-Jan-16,1.423487544,0.376,1.4062,6.5797,0.922764603,67.6428,118.14,0.303,4.2915,18.4715,104.9506,3.64,81.8394,3.75,143.9089,1.0162,3.6725,0.702493853,1
