Date,Australian dollar   (AUD),Canadian dollar   (CAD),Chinese yuan   (CNY),Euro   (EUR),Indian rupee   (INR),Japanese yen   (JPY),Kuwaiti dinar   (KWD),Malaysian ringgit   (MYR),Mexican peso   (MXN),Qatari riyal   (QAR),Russian ruble   (RUB),Saudi Arabian riyal   (SAR),Swiss franc   (CHF),U.A.E. dirham   (AED),U.K. pound   (GBP),U.S. dollar   (USD)
2-Jan-20,1.427959446,1.2992,6.967,0.893415528,71.3429,106.8178689,0.3062969136,4.0865,18.8817,3.64,72.44640625,3.75,0.9398303279,3.6725,0.757661856,1
3-Jan-20,1.435544071,1.2988,6.9741,0.897102359,71.6949,109.12,0.3062969136,4.0995,18.8673,3.64,72.44640625,3.75,0.97365,3.6725,0.765872712,1
6-Jan-20,1.439884809,1.297,6.9755,0.893335716,72.0919,108.05,0.30305,4.108,18.827,3.64,72.44640625,3.75,0.9691,3.6725,0.760167237,1
7-Jan-20,1.443418014,1.3009,6.9453,0.89509488,71.7764,108.44,0.30295,4.0955,18.8852,3.64,72.44640625,3.75,0.97045,3.6725,0.760600875,1
8-Jan-20,1.455392228,1.3026,6.9394,0.89968511,72.0178,107.82,0.30305,4.104,18.798,3.64,72.44640625,3.75,0.97215,3.6725,0.76289289,1
9-Jan-20,1.454968718,1.3079,6.9285,0.900090009,71.4221,109.22,0.30325,4.0913,18.8453,3.64,61.234,3.75,0.97395,3.6725,0.768255675,1
10-Jan-20,1.454968718,1.3051,6.9323,0.901631954,71.1136,109.54,0.30325,4.083,18.7732,3.64,61.2632,3.75,0.97545,3.6725,0.764906108,1
13-Jan-20,1.446340758,1.3048,6.8996,0.898795614,70.8115,109.54,0.30325,4.0645,18.8215,3.64,60.9474,3.75,0.9719,3.6725,0.771188401,1
14-Jan-20,1.448855404,1.3062,6.8831,0.89968511,70.9242,110.08,0.30335,4.0615,18.812,3.64,61.414,3.75,0.9675,3.6725,0.769349131,1
15-Jan-20,1.449485433,1.305,6.8865,0.897504936,70.8753,109.93,0.30335,4.079,18.8077,3.64,61.4328,3.75,0.9655,3.6725,0.768521365,1
16-Jan-20,1.447806573,1.3045,6.8877,0.895335303,70.9065,109.93,0.30335,4.0685,18.793,3.64,61.5694,3.75,0.96275,3.6725,0.765638159,1
17-Jan-20,1.450326323,1.3062,6.8581,0.900252071,71.0436,110.2,0.30335,4.0625,18.7388,3.64,61.5333,3.75,0.96655,3.6725,0.766988802,1
21-Jan-20,1.456664239,1.3067,6.9058,0.89968511,71.1825,110.0,0.30365,4.069,18.7007,3.64,61.8552,3.75,0.9675,3.6725,0.765696784,1
22-Jan-20,1.462202076,1.3116,6.9019,0.901875902,71.2056,109.88,0.30365,4.0735,18.6883,3.64,61.8343,3.75,0.9716,3.6725,0.763387916,1
23-Jan-20,1.456239988,1.3143,6.9307,0.901631954,71.2437,109.68,0.30365,4.0655,18.8018,3.64,61.9515,3.75,0.9685,3.6725,0.761962816,1
24-Jan-20,1.460493647,1.314,6.9307,0.906207522,71.2437,109.55,0.30365,4.0645,18.8313,3.64,61.8031,3.75,0.9685,3.6725,0.764029492,1
27-Jan-20,1.460493647,1.3182,6.9307,0.907029478,71.3948,108.93,0.30365,4.0645,18.9407,3.64,62.338,3.75,0.96925,3.6725,0.764350684,1
28-Jan-20,1.478852411,1.3179,6.9307,0.908677874,71.3263,108.98,0.30365,4.0835,18.8022,3.64,62.8299,3.75,0.9708,3.6725,0.768403258,1
29-Jan-20,1.476232654,1.3196,6.9307,0.909008272,71.1875,109.08,0.3038,4.0785,18.7067,3.64,62.3934,3.75,0.97505,3.6725,0.768344218,1
30-Jan-20,1.483899688,1.3217,6.9307,0.906700517,71.4772,108.95,0.3038,4.0885,18.7853,3.64,63.0359,3.75,0.97045,3.6725,0.764906108,1
