Date,Australian dollar   (AUD),Bahrain dinar   (BHD),Canadian dollar   (CAD),Chinese yuan   (CNY),Euro   (EUR),Indian rupee   (INR),Japanese yen   (JPY),Kuwaiti dinar   (KWD),Malaysian ringgit   (MYR),Mexican peso   (MXN),Pakistani rupee   (PKR),Qatari riyal   (QAR),Russian ruble   (RUB),Saudi Arabian riyal   (SAR),Sri Lankan rupee   (LKR),Swiss franc   (CHF),U.A.E. dirham   (AED),U.K. pound   (GBP),U.S. dollar   (USD)
3-Jan-12,0.971439674,0.376,1.009,6.312786694,0.768403258,53.23,79.78766129,0.27815,3.1525,13.6882,90.0587,3.64,31.05616245,3.75,113.8998,0.9334,3.6725,0.640573954,1
4-Jan-12,0.965903603,0.376,1.0135,6.3001,0.772320049,53.14,76.66,0.2778,3.1393,13.7144,90.1504,3.64,31.05616245,3.75,113.9,0.9384,3.6725,0.641190049,1
5-Jan-12,0.968710646,0.376,1.0197,6.3115,0.779301746,52.78,76.73,0.27825,3.1395,13.7409,90.3836,3.64,31.05616245,3.75,113.9,0.9492,3.6725,0.644329897,1
6-Jan-12,0.97837785,0.376,1.0232,6.3166,0.782717595,52.78,77.19,0.27825,3.1505,13.7228,90.5767,3.64,31.05616245,3.75,113.8998,0.9516,3.6725,0.645244548,1
9-Jan-12,0.983284169,0.376,1.0272,6.3236,0.78566939,52.73,77.19,0.27935,3.161,13.7437,90.8957,3.64,32.1961,3.75,113.9,0.952,3.6725,0.64758451,1
10-Jan-12,0.969838037,0.376,1.0164,6.3171,0.780762024,52.23,76.87,0.27895,3.14,13.6204,90.4202,3.64,31.8729,3.75,113.9,0.9498,3.6725,0.646746863,1
11-Jan-12,0.972384286,0.376,1.0192,6.3155,0.786287152,51.75,76.92,0.2791,3.146,13.6592,89.998,3.64,31.6886,3.75,113.9,0.9549,3.6725,0.649899266,1
12-Jan-12,0.971250971,0.376,1.0198,6.323,0.785175879,51.83,76.91,0.2793,3.142,13.5982,90.1121,3.64,31.6807,3.75,113.8984,0.9488,3.6725,0.65142336,1
13-Jan-12,0.968992248,0.376,1.0245,6.3201,0.783024039,51.43,76.79,0.2793,3.134,13.6263,90.2692,3.64,31.583,3.75,113.9,0.9467,3.6725,0.652400835,1
17-Jan-12,0.963669654,0.376,1.0132,6.325,0.781860829,51.07,76.83,0.2792,3.1315,13.4621,90.3786,3.64,31.5445,3.75,113.8987,0.947,3.6725,0.650533437,1
18-Jan-12,0.961538462,0.376,1.014,6.3205,0.779362481,50.67,76.69,0.279,3.118,13.3267,90.3875,3.64,31.5428,3.75,113.8996,0.9444,3.6725,0.650618087,1
19-Jan-12,0.962000962,0.376,1.0095,6.3173,0.774533344,50.29,76.76,0.27865,3.1037,13.2516,90.239,3.64,31.4777,3.75,113.9,0.9361,3.6725,0.647668394,1
20-Jan-12,0.961446015,0.376,1.0143,6.3138,0.775073632,50.33,77.12,0.27865,3.1035,13.224,90.1899,3.64,31.2879,3.75,113.9025,0.9359,3.6725,0.646579594,1
23-Jan-12,0.953288847,0.376,1.008,6.3138,0.768226166,50.24,77.02,0.27855,3.1035,13.1383,90.2068,3.64,31.3325,3.75,113.9,0.9283,3.6725,0.642343268,1
24-Jan-12,0.952925481,0.376,1.0097,6.3138,0.769053295,49.97,76.99,0.27815,3.1035,13.1712,90.2484,3.64,30.8752,3.75,113.9,0.9277,3.6725,0.642549637,1
25-Jan-12,0.951203272,0.376,1.012,6.3138,0.772678102,50.02,77.95,0.27815,3.0805,13.1319,90.1915,3.64,30.667,3.75,113.8876,0.932,3.6725,0.642137032,1
26-Jan-12,0.951203272,0.376,0.9986,6.3138,0.760745531,50.02,77.76,0.2778,3.0405,12.9325,90.2405,3.64,30.36,3.75,113.8988,0.9181,3.6725,0.637755102,1
27-Jan-12,0.942063118,0.376,1.0013,6.3138,0.760745531,49.65,77.38,0.2778,3.041,12.9504,90.2459,3.64,30.3626,3.75,113.9,0.9196,3.6725,0.636739892,1
30-Jan-12,0.944376239,0.376,1.0032,6.3056,0.762776506,49.5,76.68,0.2773,3.0425,13.0063,90.3426,3.64,30.3647,3.75,113.8954,0.9182,3.6725,0.636861546,1
31-Jan-12,0.940114694,0.376,1.0052,6.3115,0.758955677,49.68,76.36,0.2772,3.0455,13.0077,90.3818,3.64,30.3131,3.75,113.9,0.9136,3.6725,0.633352334,1
1-Feb-12,0.942507069,0.376,0.9971,6.3103,0.759013283,49.53,76.2,0.2776,3.0455,12.89,90.4484,3.64,30.4067,3.75,113.8997,0.9178,3.6725,0.633633253,1
2-Feb-12,0.933271115,0.376,0.9971,6.3075,0.763708569,49.13,76.14,0.2776,3.0205,12.89,90.3732,3.64,30.1855,3.75,113.8984,0.9176,3.6725,0.631711939,1
3-Feb-12,0.936154278,0.376,0.9945,6.3102,0.759878419,48.96,76.19,0.2776,3.0225,12.712,90.4427,3.64,30.2385,3.75,113.8996,0.9156,3.6725,0.631951466,1
6-Feb-12,0.93300989,0.376,0.9954,6.3108,0.766753565,48.68,76.75,0.2776,3.0225,12.712,90.5143,3.64,30.2324,3.75,114.0592,0.9248,3.6725,0.634276291,1
7-Feb-12,0.927815921,0.376,0.9948,6.3116,0.762601998,48.92,76.71,0.2776,3.0225,12.6472,90.6905,3.64,30.0871,3.75,114.0592,0.9201,3.6725,0.632311097,1
8-Feb-12,0.926612305,0.376,0.997,6.3027,0.753352418,49.07,76.95,0.27705,3.004,12.6833,90.7132,3.64,29.693,3.75,114.2906,0.9121,3.6725,0.629802242,1
9-Feb-12,0.925925926,0.376,0.9941,6.3009,0.7525587,49.29,77.16,0.27715,3.007,12.72,90.7442,3.64,29.6795,3.75,114.3,0.9134,3.6725,0.631672036,1
10-Feb-12,0.933445347,0.376,1.0016,6.2937,0.758207597,49.64,77.64,0.27715,3.0325,12.7857,90.7134,3.64,29.8923,3.75,114.3,0.9131,3.6725,0.631871604,1
13-Feb-12,0.931098696,0.376,0.9996,6.2939,0.754489211,49.32,77.63,0.27725,3.0255,12.7392,90.8414,3.64,29.8873,3.75,114.9382,0.9119,3.6725,0.633031588,1
14-Feb-12,0.936504963,0.376,0.9991,6.2947,0.759359101,49.33,77.9,0.27765,3.045,12.7753,90.8774,3.64,30.0868,3.75,116.1085,0.9151,3.6725,0.635122261,1
15-Feb-12,0.931358853,0.376,0.9965,6.2958,0.763825237,49.25,78.51,0.27775,3.0335,12.7658,90.7235,3.64,29.944,3.75,119.1514,0.9176,3.6725,0.636739892,1
16-Feb-12,0.936066648,0.376,0.9962,6.2991,0.770297335,49.25,78.43,0.27825,3.0545,12.8822,90.7261,3.64,30.2098,3.75,119.8908,0.9282,3.6725,0.637714431,1
17-Feb-12,0.928332714,0.376,0.997,6.2951,0.759936165,49.21,79.07,0.27825,3.0485,12.7856,90.8054,3.64,29.9982,3.75,119.3708,0.9193,3.6725,0.631751848,1
21-Feb-12,0.932487878,0.376,0.9955,6.296,0.756315232,49.08,79.73,0.27755,3.0235,12.7408,90.8963,3.64,29.7796,3.75,118.5696,0.9143,3.6725,0.632831287,1
22-Feb-12,0.938790837,0.376,1.0,6.2988,0.755857899,49.25,80.04,0.27775,3.0255,12.8296,90.8395,3.64,29.7692,3.75,118.4706,0.9127,3.6725,0.636942675,1
23-Feb-12,0.939319932,0.376,0.9985,6.3031,0.751879699,49.25,80.19,0.27775,3.0246,12.8294,90.8058,3.64,29.7692,3.75,118.6797,0.9064,3.6725,0.636334712,1
24-Feb-12,0.931272118,0.376,0.9988,6.2965,0.745600954,49.07,80.55,0.27775,3.0075,12.8675,90.8461,3.64,29.449,3.75,119.1422,0.8983,3.6725,0.632871337,1
27-Feb-12,0.935541211,0.376,0.9983,6.2985,0.746937556,49.05,81.15,0.27775,3.0175,12.8779,90.9417,3.64,29.1264,3.75,119.8025,0.8991,3.6725,0.630278583,1
28-Feb-12,0.927902014,0.376,0.9956,6.2961,0.743273376,49.14,80.25,0.27705,3.011,12.8575,90.9618,3.64,28.9503,3.75,120.5922,0.8964,3.6725,0.630914826,1
29-Feb-12,0.924556213,0.376,0.9866,6.2919,0.743881574,48.94,80.65,0.27685,3.0,12.7891,90.9641,3.64,29.0253,3.75,121.1198,0.8967,3.6725,0.627234523,1
1-Mar-12,0.929108984,0.376,0.9849,6.3016,0.751201923,49.15,81.2,0.27745,3.0,12.7764,90.9614,3.64,29.2889,3.75,121.907,0.9044,3.6725,0.627077193,1
2-Mar-12,0.926526452,0.376,0.9888,6.298,0.756601347,49.35,81.48,0.27745,2.9977,12.7723,91.0145,3.64,29.296,3.75,122.0764,0.9109,3.6725,0.628851717,1
5-Mar-12,0.933096949,0.376,0.9936,6.3121,0.756429652,49.8,81.58,0.27815,3.016,12.8339,91.0608,3.64,29.2892,3.75,120.892,0.9148,3.6725,0.632271118,1
6-Mar-12,0.942151875,0.376,1.0015,6.3141,0.760282825,50.03,81.41,0.27805,3.0215,12.9777,90.9145,3.64,29.4508,3.75,121.9427,0.918,3.6725,0.634075201,1
7-Mar-12,0.948856628,0.376,0.9993,6.3213,0.762195122,50.57,80.72,0.2782,3.0295,12.9469,90.9124,3.64,29.6621,3.75,121.9427,0.9179,3.6725,0.635647089,1
8-Mar-12,0.943218261,0.376,0.9921,6.3235,0.755172935,50.57,81.3,0.2782,3.017,12.784,90.8419,3.64,29.6621,3.75,121.8291,0.9107,3.6725,0.632751202,1
9-Mar-12,0.938262338,0.376,0.9895,6.3073,0.758092639,50.02,81.62,0.2782,3.0035,12.6299,90.8289,3.64,29.6621,3.75,121.3827,0.9116,3.6725,0.633111744,1
12-Mar-12,0.949397133,0.376,0.9935,6.3282,0.762253221,49.94,82.24,0.2787,3.0245,12.715,90.7311,3.64,29.6666,3.75,121.2846,0.9198,3.6725,0.639427073,1
13-Mar-12,0.947597839,0.376,0.9905,6.3259,0.765872712,49.85,82.35,0.2784,3.0215,12.6336,90.6878,3.64,29.5091,3.75,121.8491,0.9198,3.6725,0.638977636,1
14-Mar-12,0.948136911,0.376,0.9915,6.3328,0.765579544,49.9,83.15,0.2789,3.0375,12.6719,90.7653,3.64,29.5125,3.75,122.5335,0.9256,3.6725,0.636699351,1
15-Mar-12,0.955383587,0.376,0.9929,6.3359,0.765872712,50.22,83.98,0.27925,3.0605,12.6591,90.7254,3.64,29.5822,3.75,124.0149,0.9266,3.6725,0.637714431,1
16-Mar-12,0.949126803,0.376,0.9914,6.32,0.762427569,50.31,83.55,0.27925,3.05,12.6645,90.745,3.64,29.3578,3.75,124.8562,0.9233,3.6725,0.635525898,1
19-Mar-12,0.942684766,0.376,0.988,6.3082,0.760456274,50.12,83.53,0.27845,3.0525,12.6645,90.7264,3.64,29.2224,3.75,124.9584,0.9168,3.6725,0.630119723,1
20-Mar-12,0.946073794,0.376,0.9933,6.3029,0.757690559,50.25,83.53,0.2782,3.059,12.6935,90.7266,3.64,29.1652,3.75,127.755,0.9137,3.6725,0.631352989,1
21-Mar-12,0.953107129,0.376,0.9931,6.3092,0.756143667,50.59,83.66,0.2782,3.086,12.6833,90.7479,3.64,29.2079,3.75,129.609,0.9109,3.6725,0.631074088,1
22-Mar-12,0.962000962,0.376,1.0003,6.3004,0.759474444,50.91,83.3,0.2782,3.0802,12.833,90.7762,3.64,29.2447,3.75,130.4119,0.916,3.6725,0.63319192,1
23-Mar-12,0.961815908,0.376,0.9982,6.2891,0.755172935,50.91,82.71,0.2782,3.0775,12.833,90.7762,3.64,29.4038,3.75,130.1728,0.911,3.6725,0.632071298,1
26-Mar-12,0.956846235,0.376,0.9922,6.2858,0.753238927,51.31,82.7,0.278,3.0705,12.6795,90.8026,3.64,29.2311,3.75,130.2927,0.9104,3.6725,0.629960942,1
27-Mar-12,0.950841495,0.376,0.9928,6.284,0.75001875,50.91,82.87,0.27765,3.0695,12.6706,90.8058,3.64,28.9468,3.75,130.1636,0.9027,3.6725,0.626802056,1
28-Mar-12,0.959048624,0.376,0.9984,6.2912,0.749793807,50.92,82.98,0.27765,3.0645,12.8039,90.7833,3.64,29.0845,3.75,129.9537,0.9034,3.6725,0.628338046,1
29-Mar-12,0.964227172,0.376,0.9999,6.2932,0.753465943,51.15,82.65,0.27775,3.0685,12.8489,90.7188,3.64,29.2853,3.75,129.747,0.9072,3.6725,0.629881582,1
30-Mar-12,0.961353586,0.376,0.9991,6.2943,0.748727164,51.16,82.15,0.27775,3.068,12.8093,90.7029,3.64,29.3282,3.75,128.1878,0.9031,3.6725,0.624648635,1
2-Apr-12,0.962371283,0.376,0.9917,6.2943,0.750807118,51.16,83.0,0.2777,3.056,12.7691,90.742,3.64,29.3479,3.75,128.1742,0.9027,3.6725,0.623441397,1
3-Apr-12,0.961446015,0.376,0.991,6.2943,0.75103267,50.56,81.85,0.27745,3.048,12.7317,90.6013,3.64,29.2944,3.75,128.2978,0.9021,3.6725,0.624336642,1
4-Apr-12,0.972478849,0.376,0.9962,6.2943,0.76091919,51.05,82.85,0.2782,3.0615,12.8155,90.4387,3.64,29.4285,3.75,126.6993,0.9141,3.6725,0.63000063,1
5-Apr-12,0.970496894,0.376,0.9928,6.3035,0.765228038,51.05,82.25,0.2783,3.0635,12.8155,90.4074,3.64,29.4303,3.75,125.4679,0.9191,3.6725,0.631991405,1
6-Apr-12,0.970496894,0.376,0.9928,6.3072,0.765228038,51.05,82.26,0.2783,3.0625,12.8155,90.587,3.64,29.4606,3.75,125.4679,0.9191,3.6725,0.631991405,1
9-Apr-12,0.970496894,0.376,0.9972,6.3021,0.765228038,51.28,81.48,0.2785,3.0725,12.9902,90.6104,3.64,29.6358,3.75,125.4818,0.9191,3.6725,0.629802242,1
10-Apr-12,0.969180074,0.376,1.0028,6.3048,0.762543846,51.2,81.77,0.2782,3.0685,13.1568,90.7468,3.64,29.6359,3.75,125.8002,0.9195,3.6725,0.632071298,1
11-Apr-12,0.97191175,0.376,1.0039,6.3018,0.761556622,51.55,80.74,0.2782,3.0685,13.1324,90.7096,3.64,29.8033,3.75,126.6187,0.9136,3.6725,0.627864632,1
12-Apr-12,0.963483958,0.376,0.995,6.2984,0.760282825,51.44,81.0,0.2781,3.0705,13.0736,90.6987,3.64,29.569,3.75,126.6187,0.9149,3.6725,0.626605677,1
13-Apr-12,0.961908426,0.376,0.9979,6.2879,0.76057195,51.42,80.98,0.2781,3.0595,13.1458,90.6454,3.64,29.4711,3.75,126.6187,0.9129,3.6725,0.627864632,1
16-Apr-12,0.967960507,0.376,1.0024,6.296,0.767813268,51.66,80.5,0.27855,3.0713,13.2168,90.7528,3.64,29.7614,3.75,128.9413,0.9227,3.6725,0.631472594,1
17-Apr-12,0.969180074,0.376,0.9878,6.2896,0.761498629,51.63,80.42,0.2781,3.0655,13.0816,90.7388,3.64,29.6368,3.75,127.5509,0.9145,3.6725,0.626802056,1
18-Apr-12,0.961353586,0.376,0.9902,6.2948,0.763766898,51.5,81.38,0.2782,3.0625,13.1322,90.6929,3.64,29.4978,3.75,128.3681,0.9192,3.6725,0.625664769,1
19-Apr-12,0.965810315,0.376,0.9927,6.3004,0.764175455,51.89,81.5,0.2782,3.0678,13.2288,90.7505,3.64,29.5122,3.75,128.4717,0.9163,3.6725,0.623791404,1
20-Apr-12,0.96749226,0.376,0.9911,6.3042,0.758035173,52.0,81.63,0.2782,3.07,13.1171,90.7352,3.64,29.5214,3.75,129.4492,0.9109,3.6725,0.620809536,1
23-Apr-12,0.967211529,0.376,0.9936,6.297,0.761556622,52.23,81.3,0.27775,3.0635,13.2087,90.8146,3.64,29.488,3.75,130.3336,0.9148,3.6725,0.621697233,1
24-Apr-12,0.974468914,0.376,0.9883,6.3003,0.759820682,52.79,81.15,0.2779,3.07,13.1392,90.9243,3.64,29.4549,3.75,130.9114,0.913,3.6725,0.619195046,1
25-Apr-12,0.974468914,0.376,0.9848,6.2923,0.757231561,52.49,81.43,0.2778,3.0638,13.1667,90.9026,3.64,29.2962,3.75,131.7086,0.9094,3.6725,0.62119518,1
26-Apr-12,0.963298333,0.376,0.9841,6.2829,0.756715853,52.57,81.15,0.2776,3.0575,13.2093,90.8041,3.64,29.277,3.75,132.5489,0.9093,3.6725,0.617894217,1
27-Apr-12,0.964413155,0.376,0.9807,6.2787,0.755915035,52.68,81.15,0.2776,3.0505,13.0141,90.897,3.64,29.4234,3.75,130.243,0.9081,3.6725,0.616522811,1
30-Apr-12,0.956663159,0.376,0.9884,6.2787,0.756773119,52.52,81.15,0.27725,3.034,13.2093,90.9693,3.64,29.4234,3.75,130.7711,0.9092,3.6725,0.614968329,1
1-May-12,0.967211529,0.376,0.9839,6.2787,0.756773119,52.52,79.85,0.27725,3.034,13.2093,90.9693,3.64,29.4234,3.75,130.7711,0.9092,3.6725,0.616941206,1
2-May-12,0.966930961,0.376,0.9891,6.267,0.761556622,52.93,80.25,0.27735,3.023,12.9629,90.9683,3.64,29.3708,3.75,130.439,0.9146,3.6725,0.618161587,1
3-May-12,0.970402717,0.376,0.9868,6.2697,0.762020879,53.24,80.25,0.2777,3.0318,12.9725,90.8582,3.64,29.463,3.75,128.3334,0.9148,3.6725,0.617970585,1
4-May-12,0.973994351,0.376,0.9956,6.2721,0.761498629,53.72,80.25,0.2777,3.037,13.1344,90.7726,3.64,29.5937,3.75,127.9214,0.9149,3.6725,0.617932398,1
