Date,Australian dollar   (AUD),Bahrain dinar   (BHD),Canadian dollar   (CAD),Chinese yuan   (CNY),Euro   (EUR),Indian rupee   (INR),Japanese yen   (JPY),Kuwaiti dinar   (KWD),Malaysian ringgit   (MYR),Mexican peso   (MXN),Pakistani rupee   (PKR),Qatari riyal   (QAR),Russian ruble   (RUB),Saudi Arabian riyal   (SAR),Sri Lankan rupee   (LKR),Swiss franc   (CHF),U.A.E. dirham   (AED),U.K. pound   (GBP),U.S. dollar   (USD)
2-Jan-18,1.275998469,0.376,1.2517,6.4959,0.828843763,63.6728,110.4062753,0.3014,4.0325,19.4899,110.5043,3.64,62.77780082,3.75,153.4697,0.9712,3.6725,0.737952919,1
3-Jan-18,1.279426817,0.376,1.2533,6.5018,0.831739167,63.4833,110.4062753,0.30125,4.0255,19.3717,110.5268,3.64,62.77780082,3.75,153.6377,0.9761,3.6725,0.737381558,1
4-Jan-18,1.276324186,0.376,1.2515,6.4966,0.828843763,63.3914,112.7,0.3014,4.02,19.2427,110.5399,3.64,62.77780082,3.75,153.7699,0.9751,3.6725,0.737762367,1
5-Jan-18,1.272750414,0.376,1.2403,6.4846,0.830220008,63.3823,112.79,0.3014,3.9945,19.2737,110.5392,3.64,62.77780082,3.75,153.6506,0.9765,3.6725,0.738143569,1
8-Jan-18,1.275184902,0.376,1.2422,6.4923,0.835212562,63.3482,112.79,0.3014,3.9875,19.2323,110.556,3.64,62.77780082,3.75,153.5567,0.9778,3.6725,0.738497895,1
9-Jan-18,1.273236567,0.376,1.2454,6.5165,0.838082467,63.469,112.67,0.3015,4.0015,19.3065,110.5647,3.64,57.0463,3.75,153.8052,0.9826,3.6725,0.738552437,1
10-Jan-18,1.277465508,0.376,1.2496,6.5249,0.83388926,63.8264,112.3,0.3016,4.0085,19.2405,110.5563,3.64,56.8734,3.75,153.8203,0.9779,3.6725,0.7378168,1
11-Jan-18,1.270163851,0.376,1.2535,6.5057,0.832154448,63.7364,111.75,0.3016,3.9895,19.3433,110.5563,3.64,56.9957,3.75,153.7661,0.9792,3.6725,0.742831674,1
12-Jan-18,1.268230818,0.376,1.2504,6.474,0.823926835,63.5263,111.23,0.3016,3.9705,19.0446,110.5548,3.64,56.6019,3.75,153.781,0.9714,3.6725,0.733191583,1
16-Jan-18,1.25502008,0.376,1.2419,6.4345,0.817661488,63.7602,110.75,0.3005,3.955,19.0446,110.5564,3.64,56.3878,3.75,153.91,0.9659,3.6725,0.72743144,1
17-Jan-18,1.257071025,0.376,1.2425,6.4351,0.819470622,63.9797,110.32,0.3005,3.951,18.655,110.5536,3.64,56.5925,3.75,153.9215,0.9642,3.6725,0.725268349,1
18-Jan-18,1.255650427,0.376,1.2446,6.4301,0.81732734,63.8431,111.35,0.3007,3.9605,18.6361,110.5555,3.64,56.7597,3.75,153.8569,0.9598,3.6725,0.720149791,1
19-Jan-18,1.247038284,0.376,1.2459,6.4032,0.815993472,63.7183,111.05,0.3007,3.9365,18.6361,110.5444,3.64,56.5892,3.75,153.8803,0.958,3.6725,0.720175723,1
22-Jan-18,1.251564456,0.376,1.2458,6.405,0.817060217,63.8895,110.8,0.30055,3.9415,18.7118,110.5524,3.64,56.6261,3.75,153.9447,0.9605,3.6725,0.719398583,1
23-Jan-18,1.251721117,0.376,1.2454,6.4004,0.816393175,63.7722,110.96,0.3004,3.927,18.798,110.5537,3.64,56.4115,3.75,154.0135,0.9617,3.6725,0.71764326,1
24-Jan-18,1.24750499,0.376,1.2341,6.3918,0.809585492,63.6439,110.05,0.3001,3.9175,18.5178,110.5527,3.64,56.3888,3.75,154.0688,0.9505,3.6725,0.707413696,1
25-Jan-18,1.235483074,0.376,1.2323,6.3388,0.805996615,63.4983,109.0,0.2996,3.898,18.478,110.554,3.64,55.9288,3.75,153.9389,0.9417,3.6725,0.70136064,1
26-Jan-18,1.235483074,0.376,1.2321,6.3205,0.804117079,63.4983,109.75,0.2996,3.875,18.4672,110.5604,3.64,55.8288,3.75,153.7388,0.9349,3.6725,0.701902155,1
29-Jan-18,1.235177866,0.376,1.2335,6.3255,0.807819695,63.547,108.78,0.2996,3.8695,18.6196,110.5604,3.64,56.2908,3.75,153.7329,0.9358,3.6725,0.711085828,1
30-Jan-18,1.239157373,0.376,1.2328,6.3361,0.805088157,63.7534,108.85,0.2998,3.8945,18.6982,110.5593,3.64,56.2914,3.75,153.7682,0.933,3.6725,0.708014727,1
31-Jan-18,1.238696891,0.376,1.2293,6.296,0.8027615,63.6878,108.84,0.2996,3.8945,18.6069,110.5604,3.64,56.184,3.75,153.7682,0.933,3.6725,0.706164819,1
1-Feb-18,1.243162606,0.376,1.2288,6.3021,0.802632635,63.6113,109.18,0.2996,3.8945,18.4004,110.5536,3.64,56.2613,3.75,153.9449,0.933,3.6725,0.703284338,1
2-Feb-18,1.250468926,0.376,1.238,6.2746,0.800512328,64.0781,109.4,0.2996,3.8885,18.5248,110.5501,3.64,56.0408,3.75,154.1543,0.9294,3.6725,0.70308655,1
5-Feb-18,1.261193089,0.376,1.2483,6.2955,0.803858521,64.0295,109.95,0.2996,3.8975,18.5248,110.5501,3.64,56.6278,3.75,154.1543,0.9313,3.6725,0.711845103,1
6-Feb-18,1.274859765,0.376,1.253,6.2848,0.81109579,64.2723,108.7,0.2998,3.9135,18.7009,110.5499,3.64,57.2196,3.75,154.2579,0.9355,3.6725,0.717797796,1
7-Feb-18,1.268552582,0.376,1.2546,6.2587,0.810504134,64.1377,109.42,0.2998,3.9075,18.6492,110.5479,3.64,56.9533,3.75,154.5527,0.9399,3.6725,0.720020161,1
8-Feb-18,1.280081925,0.376,1.2585,6.323,0.816193275,64.1616,109.38,0.30025,3.9255,18.8815,110.5488,3.64,57.6736,3.75,154.5862,0.9453,3.6725,0.715793994,1
