Date,Australian dollar   (AUD),Bahrain dinar   (BHD),Canadian dollar   (CAD),Chinese yuan   (CNY),Euro   (EUR),Indian rupee   (INR),Japanese yen   (JPY),Kuwaiti dinar   (KWD),Malaysian ringgit   (MYR),Mexican peso   (MXN),Pakistani rupee   (PKR),Qatari riyal   (QAR),Russian ruble   (RUB),Saudi Arabian riyal   (SAR),Sri Lankan rupee   (LKR),Swiss franc   (CHF),U.A.E. dirham   (AED),U.K. pound   (GBP),U.S. dollar   (USD)
2-Jan-13,0.955292319,0.376,0.9859,6.195226721,0.754034082,54.389,97.64493927,0.2811,3.0375,12.7488,101.5887169,3.64,30.3727,3.75,127.6522,0.9272899194,3.6725,0.613647521,1
3-Jan-13,0.955292319,0.376,0.9853,6.195226721,0.763242253,54.4153,97.64493927,0.28165,3.036,12.743,97.4058,3.64,30.3727,3.75,127.3452,0.9217,3.6725,0.618046972,1
4-Jan-13,0.958405214,0.376,0.9856,6.2897,0.768521365,54.8458,87.65,0.28165,3.045,12.7597,97.5608,3.64,30.2727,3.75,127.4848,0.9302,3.6725,0.624336642,1
7-Jan-13,0.954927426,0.376,0.986,6.2872,0.766929979,54.978,88.08,0.2823,3.0435,12.7679,97.483,3.64,30.3727,3.75,127.3895,0.9271,3.6725,0.622742558,1
8-Jan-13,0.954198473,0.376,0.9873,6.2804,0.764175455,55.3278,87.53,0.28185,3.0395,12.8015,97.4958,3.64,30.3727,3.75,127.383,0.9211,3.6725,0.621118012,1
9-Jan-13,0.952018279,0.376,0.9868,6.2814,0.765931373,54.9625,87.45,0.28205,3.0415,12.7503,97.3427,3.64,30.4215,3.75,127.2241,0.9263,3.6725,0.623869237,1
10-Jan-13,0.947957152,0.376,0.986,6.2793,0.762601998,54.6305,88.14,0.28225,3.0375,12.6555,97.2701,3.64,30.365,3.75,126.2912,0.9226,3.6725,0.622665006,1
11-Jan-13,0.944911651,0.376,0.9841,6.2712,0.753352418,54.539,89.0,0.28225,3.02,12.6478,97.31,3.64,30.2537,3.75,126.0354,0.9166,3.6725,0.620693936,1
14-Jan-13,0.946969697,0.376,0.984,6.2695,0.749568998,54.6355,89.0,0.28115,3.0165,12.6533,97.3694,3.64,30.2607,3.75,126.0354,0.9171,3.6725,0.621890547,1
15-Jan-13,0.948226816,0.376,0.9839,6.2691,0.750356419,54.5425,89.58,0.2813,3.0056,12.6526,97.4139,3.64,30.2556,3.75,126.0684,0.9261,3.6725,0.623014142,1
16-Jan-13,0.946611132,0.376,0.985,6.2745,0.753182195,54.826,88.15,0.2814,3.0165,12.6305,97.6678,3.64,30.3399,3.75,126.3433,0.9295,3.6725,0.623519142,1
17-Jan-13,0.951655881,0.376,0.9853,6.2767,0.748055057,54.6428,88.65,0.2815,3.0218,12.6305,97.6445,3.64,30.3431,3.75,126.6075,0.9306,3.6725,0.623869237,1
18-Jan-13,0.950751093,0.376,0.9937,6.2752,0.750525368,53.9465,90.05,0.2815,3.013,12.6555,97.7004,3.64,30.2065,3.75,126.7066,0.9322,3.6725,0.627313217,1
22-Jan-13,0.947867299,0.376,0.9934,6.2796,0.750919877,53.5115,89.15,0.28155,3.0365,12.6817,97.744,3.64,30.195,3.75,126.6217,0.9288,3.6725,0.630238861,1
23-Jan-13,0.949036728,0.376,0.9986,6.2762,0.750187547,53.771,88.65,0.28155,3.0385,12.6616,97.7232,3.64,30.2292,3.75,126.7049,0.9283,3.6725,0.630676085,1
24-Jan-13,0.951022349,0.376,1.0026,6.2783,0.749119784,53.8515,88.55,0.28155,3.0385,12.6286,97.6784,3.64,30.1648,3.75,126.9609,0.9301,3.6725,0.631991405,1
25-Jan-13,0.956937799,0.376,1.0078,6.2805,0.742445616,53.8515,90.5,0.28155,3.0533,12.6993,97.6784,3.64,30.0451,3.75,126.9609,0.9237,3.6725,0.634356762,1
28-Jan-13,0.956937799,0.376,1.0069,6.2818,0.743826242,53.8905,91.05,0.2815,3.0533,12.7802,97.7374,3.64,30.0782,3.75,127.0078,0.9267,3.6725,0.636739892,1
29-Jan-13,0.957395883,0.376,1.0029,6.2851,0.744435346,53.7015,90.7,0.2815,3.078,12.7134,97.6933,3.64,30.1513,3.75,127.0753,0.9243,3.6725,0.635364381,1
30-Jan-13,0.954653938,0.376,1.0033,6.2806,0.738497895,53.5678,90.93,0.28135,3.078,12.7408,97.6754,3.64,30.0277,3.75,126.6989,0.9171,3.6725,0.633954609,1
31-Jan-13,0.962093515,0.376,0.9992,6.2795,0.73800738,53.289,91.07,0.28095,3.0995,12.7094,97.738,3.64,30.0161,3.75,126.4512,0.9116,3.6725,0.633593107,1
1-Feb-13,0.962463908,0.376,0.9987,6.2819,0.732922897,53.3238,92.18,0.28095,3.0995,12.6377,97.7389,3.64,29.9966,3.75,126.4532,0.9047,3.6725,0.631632137,1
4-Feb-13,0.958956655,0.376,0.9977,6.286,0.737898465,52.973,92.67,0.28105,3.101,12.6377,97.7817,3.64,29.9251,3.75,126.4532,0.9116,3.6725,0.635970491,1
5-Feb-13,0.961538462,0.376,0.9972,6.285,0.738716111,53.2945,92.28,0.28145,3.0955,12.6294,97.7817,3.64,30.1231,3.75,126.2329,0.9084,3.6725,0.63500127,1
6-Feb-13,0.965903603,0.376,0.996,6.2881,0.739809129,53.0855,93.8,0.28145,3.094,12.6664,97.8127,3.64,29.9598,3.75,126.4782,0.9135,3.6725,0.638569604,1
7-Feb-13,0.969180074,0.376,0.9993,6.2898,0.738225306,53.1445,93.38,0.2816,3.099,12.7105,97.9416,3.64,30.0496,3.75,126.2889,0.9083,3.6725,0.636334712,1
